152.428571,34,15.9,37.714286,15.242857,236.83,28.712851,17.758529,0.085059,0.018357,6109.963228,-0.393107,1759515.183,-109.673837,183180.1638,13.991773,-2.267085,74.447084,-0.055626,-0.009028,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.158532,-0.262192,-3788651031,1.40E+14,-0.896995,0.776634,0.01437,-1.08E+12,-0.004472,1.548075,-0.846706,-117.246873,0.815727,0.300782,-0.043283,0.004443,0.00755,0.099311,0.003765,-6.13737,-36.926197,0.004462,-0.003545,4.688994,-4.700287,26.024285,100.606159,3.201297,0
152.428571,45,16.4,37.714286,15.242857,236.83,2.559994,17.758529,0.093485,0.018357,6109.963228,-0.393078,1759515.183,-109.673837,182379.18,13.991773,-2.289022,74.078878,-0.055626,-0.009018,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.160342,-0.262192,-3788651088,1.40E+14,-0.896995,0.776001,0.01437,-1.08E+12,-0.004472,1.548075,-0.819946,-117.634871,0.815727,0.300782,-0.045508,0.004443,0.000159,0.099311,0.003765,-6.13737,-35.984936,0.004462,-0.003545,4.688727,-4.700287,24.689875,118.509107,3.201297,0
152.428571,38,15.3,37.714286,15.242857,236.83,8.732202,17.758529,0.083365,0.018357,6109.963228,-0.393143,1759515.183,-109.673837,184145.8552,13.991773,-2.239618,74.920697,-0.055626,-0.009052,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.156122,-0.262192,-3788651160,1.40E+14,-0.896995,0.777396,0.01437,-1.08E+12,-0.004472,1.548075,-0.943172,-118.939261,0.815727,0.300782,-0.040599,0.004443,0.001567,0.099311,0.003765,-6.13737,-38.094799,0.004462,-0.003545,4.689326,-4.700287,27.826509,106.02521,3.201297,0
152.428571,41,17.5,37.714286,15.242857,236.83,6.864429,17.758529,0.098133,0.018357,6109.963228,-0.393017,1759515.183,-109.673837,180628.9321,13.991773,-2.33451,73.342888,-0.055626,-0.009023,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.163766,-0.262192,-3788650942,1.40E+14,-0.896995,0.774619,0.01437,-1.08E+12,-0.004472,1.548075,-0.715542,-117.203112,0.815727,0.300782,-0.050373,0.004443,0.003898,0.099311,0.003765,-6.13737,-34.004997,0.004462,-0.003545,4.688165,-4.700287,22.18314,110.907431,3.201297,0
152.428571,43,15.6,37.714286,15.242857,236.83,4.809989,17.758529,0.087527,0.018357,6109.963228,-0.393125,1759515.183,-109.673837,183662.3923,13.991773,-2.253513,74.679337,-0.055626,-0.009038,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.157362,-0.262192,-3788651179,1.40E+14,-0.896995,0.777015,0.01437,-1.08E+12,-0.004472,1.548075,-0.950751,-117.008834,0.815727,0.300782,-0.041943,0.004443,0.000128,0.099311,0.003765,-6.13737,-37.504888,0.004462,-0.003545,4.689159,-4.700287,26.895599,114.542264,3.201297,0
152.428571,15,6.7,37.714286,15.242857,236.83,72.630239,17.758529,0.031144,0.018357,6109.963228,-0.393909,1759515.183,-109.673837,198551.5243,13.991773,-1.599655,91.030625,-0.055626,-0.114222,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.057768,-0.262192,-3788668856,1.40E+14,-0.896995,0.78868,0.01437,-1.08E+12,-0.004472,1.548075,-4.585498,-118.933861,-0.244627,0.300782,0.007177,0.004443,0.002305,0.099311,0.003765,-6.13737,-66.718608,0.004462,-0.003545,4.696238,-4.700287,1941.070869,102.717154,3.201297,0
152.428571,48,19.3,37.714286,15.242857,236.83,0,17.758529,0.113844,0.018357,6109.963228,-0.392924,1759515.183,-109.673837,177799.727,13.991773,-2.401755,72.319504,-0.055626,-0.009083,-140.405527,27.970042,2019.557522,0.076468,-32796726.08,699.6037,-317236775,360.692038,269.852545,0.004462,0.168011,-0.262192,-3788650863,1.40E+14,-0.896995,0.772325,0.01437,-1.08E+12,-0.004472,1.548075,-0.60193,-118.905968,0.815727,0.300782,-0.058263,0.004443,0.001919,0.099311,0.003765,-6.13737,-30.986057,0.004462,-0.003545,4.687312,-4.700287,19.015894,125.106109,3.201297,0
131.5,28,13.2,30.666667,13.15,239.23,13.080195,8.300893,0.066657,-0.007389,28116.61847,-0.405704,716820.1958,-37.7553,-186913.9152,13.541353,-2.133342,71.501777,-0.031645,-0.009573,-185.011697,31.149107,220.891191,0.048606,-85971568.56,194.758048,28557619.84,322.470366,188.266673,0.003134,0.145258,0.045261,-3788651048,3.76E+14,0.348441,1.189973,-0.001726,-2.49E+13,-0.003062,1.80557,-1.244173,-107.247776,0.79104,0.288523,-0.03141,0.002994,0.006633,0.097133,0.005126,-53.765912,-2.721721,0.003134,0.006286,69.542215,-2.53289,36.246814,140.165281,3.294347,0
131.5,30,12.6,30.666667,13.15,239.23,10.302428,8.300893,0.06408,-0.007389,28116.61847,-0.405769,716820.1958,-37.7553,-186626.9172,13.541353,-2.098742,72.206532,-0.031645,-0.009797,-185.011697,31.149107,220.891191,0.048606,-85971568.56,194.758048,28557619.84,322.470366,188.266673,0.003134,0.141202,0.045261,-3788651192,3.76E+14,0.348441,1.190815,-0.001726,-2.49E+13,-0.003062,1.80557,-1.325557,-107.227625,0.79104,0.288523,-0.028646,0.002994,0.002306,0.097133,0.005126,-53.765912,-2.799722,0.003134,0.006286,69.542313,-2.53289,39.766907,142.393148,3.294347,0
131.5,26,12.6,30.666667,13.15,239.23,15.499939,8.300893,0.062802,-0.007389,28116.61847,-0.405769,716820.1958,-37.7553,-186626.9172,13.541353,-2.098742,72.206532,-0.031645,-0.009797,-185.011697,31.149107,220.891191,0.048606,-85971568.56,194.758048,28557619.84,322.470366,188.266673,0.003134,0.141202,0.045261,-3788651114,3.76E+14,0.348441,1.190815,-0.001726,-2.49E+13,-0.003062,1.80557,-1.355134,-107.227625,0.79104,0.288523,-0.028646,0.002994,0.007287,0.097133,0.005126,-53.765912,-2.799722,0.003134,0.006286,69.542313,-2.53289,39.766907,138.561062,3.294347,0
