0.506596748,0.674406917,0.466278071,0.146461177,0.506596748,-0.312512942,-1.050253271,0.659049643,-0.422578743,0.379292332,0.253298839,0.389726417,-0.379705077,-0.270533636,0.467566195,-0.101358949,-0.235133508,0.359692032,-0.978278659,-0.386796564,0.090946411,-0.383589842,-0.017914025,-0.436419664,0.113514973,0.128754408,-0.462999891,0.341866636,-0.53246224,0.622016529,0.173512876,-0.881603626,0.406372645,0.474519679,-0.128205664,0.472584019,3.13E-01,-0.09207759,-0.692119302,0.365413154,-0.541089749,0.2401179,0.389666876,-0.116897744,-0.025388305,-0.405076359,-0.390670611,0.075460573,-0.123618312,0.30333095,0.602962385,-0.313123469,0.847565381,0.210390455,0.021897322,0.391580527,0.378780618,-0.175859539,1
0.506596748,-0.226476496,0.162046775,0.146461177,0.506596748,-0.312512942,1.417649491,0.659049643,-0.417421197,-0.107296034,0.262514539,-0.023196259,1.339918807,-0.26861335,0.443428917,0.037368883,-0.088282628,0.162972553,-1.015260726,-0.389757456,0.127816111,-0.385198557,-0.309252836,-0.436419664,0.084337097,0.321310994,-0.492951268,0.344822781,-0.527132448,0.284808305,0.269500067,-0.901169763,0.433074128,0.333456374,-0.115336096,0.472595654,3.13E-01,-0.233332559,-0.693412743,-0.35701665,-0.884137716,0.195249701,0.324862157,-0.097981793,-0.134700522,-0.401984523,-0.366339612,-0.223665995,-0.123618304,0.033602084,0.602962385,-0.312088338,0.859018415,-0.156605577,0.346355824,0.389432623,-0.141270221,-0.175617525,0
0.506596748,-1.154766569,-0.598531466,0.146461177,0.506596748,-0.312512942,1.586216513,0.659049643,-0.424333185,0.330250225,0.099689968,0.336478144,-0.335843858,2.72148166,0.278964793,0.1112337,0.505548524,-0.191473288,-0.978478079,-0.386668295,0.327082787,-0.381944991,0.2340521,-0.436419664,0.201520852,0.544060155,-0.173650235,0.355376206,0.310391926,0.448946375,0.23347304,-0.880813741,-0.828055016,0.333167972,-0.125487562,0.472595654,3.13E-01,-0.157805218,-0.69524962,-1.35522153,0.638388163,5.622990938,0.343507693,-0.072165705,0.186207086,-0.411255756,-0.315986197,-0.295138831,5.617947274,-0.175268979,0.602962385,-0.315052623,0.855557867,0.328396603,0.85121197,-2.787999464,0.314395974,-0.175227689,0
0.506596748,0.111244273,0.124017863,0.146461177,0.506596748,-0.312512942,0.867355818,0.659049643,-0.42066795,0.394199273,0.167450317,0.401315046,-0.383705246,-0.267297598,0.447249316,0.062001092,-0.651117066,0.362847284,-0.995496832,-0.387910402,0.115234612,-0.386001221,0.006005674,-0.436419664,0.159792994,0.195367981,-0.46299842,0.352619175,-0.526441469,0.608854681,0.150277237,-0.789088667,0.034855476,0.474722399,-0.128282242,0.472595654,3.13E-01,-0.232415514,-0.686920115,-0.173724688,-0.701430996,-0.241820884,0.418681182,-0.11161931,-0.049273168,-0.406778535,-0.350350168,-0.52891733,-0.123618312,0.084170469,0.602962385,-0.311949675,0.847587907,0.030417096,0.13842303,0.26643165,0.393878917,-0.174844169,0
0.506596748,0.308395403,-0.142184522,0.146461177,0.506596748,-0.312512942,0.36940439,0.659049643,-0.428892341,-0.08122286,0.291194278,0.02380556,-0.368742538,-0.267798889,0.406584131,0.009209014,-0.010310652,0.190144451,-0.978527516,-0.384734313,0.17140495,-0.382090144,0.612092334,-0.436419664,-0.421867351,0.018137484,-0.50223842,0.305966211,-0.521449632,-0.582721621,0.458353972,-0.879948089,-0.006367989,0.306666161,-0.11179973,0.472592931,3.13E-01,-0.106931962,-0.701494364,0.263989567,-0.061708431,-0.346169821,0.287906303,-0.104244958,0.563342433,-0.407418602,-0.420263927,-0.313300152,-0.123618312,0.323352235,0.602962385,-0.311473684,0.855509999,0.052296469,-0.134582734,0.378347369,-0.138284773,-0.175460073,0
0.506596748,0.280104658,0.238104599,0.146461177,0.506596748,-0.312512942,0.575422237,0.659049643,-0.419517392,-0.018104159,0.298541059,0.127828568,-0.37333633,-0.267679621,0.449474451,-0.017217857,0.19866913,0.23273644,-0.992691628,-0.388619492,0.082875868,-0.385216383,0.367034136,-0.436419664,0.121685516,0.22364017,-0.820817352,0.318683423,-0.528499337,0.148958842,0.266530955,-0.889415822,0.477861225,0.321110844,-0.124817301,0.47259455,3.13E-01,-0.21784798,-0.70154839,0.589493272,-0.961620292,-0.306643726,0.104168703,-0.106568031,0.0522403,-0.409725423,-0.523712084,-0.172851807,-0.123618312,0.046464619,0.602962385,-0.310871334,0.849540624,0.107851333,0.17378268,0.380427395,-0.106414973,-0.176140916,1
0.506596748,0.082953528,0.047960039,0.146461177,0.506596748,-0.312512942,0.951054375,0.659049643,-0.424841583,0.440383969,0.211052109,0.430516775,-0.38179344,-0.267293427,0.43899351,0.035396155,-0.450403227,0.365631062,-0.994477324,-0.387151095,0.13986178,-0.385267735,0.273990552,-0.436419664,0.107827817,0.172855579,-0.462814253,0.386834005,-0.525042291,0.620890224,-0.869881286,-0.878256831,0.201105679,0.496222537,-0.127592759,0.472595654,3.13E-01,-0.213544468,-0.691702986,-0.143354501,-0.476320646,-0.236244122,0.42834164,-0.110996389,-0.009467948,-0.408669048,-0.362825746,0.070687147,-0.123618312,0.002721933,0.602962385,-0.312993352,0.848381946,0.011522701,0.104173068,0.520826151,0.439052356,-0.175512621,0
0.506596748,-0.184040379,0.238104599,0.146461177,0.506596748,-0.312512942,1.300673774,0.659049643,-0.415207049,-0.090323253,0.238437295,0.023726911,-0.371815371,-0.268265497,0.449627027,0.126165302,-0.152557234,0.08792477,-1.015686586,-0.388404193,0.11045567,-0.384800145,0.237408178,-0.436419664,0.127543904,0.372672505,-0.488213781,0.33716934,-0.528499337,0.221052124,0.098493565,-0.889415822,0.477861225,0.418120394,-0.113084741,0.472595654,3.13E-01,-0.21784798,-0.70154839,-3.69E-05,-0.826655215,0.131395089,0.235836015,-0.097091906,-0.151668665,-0.39984122,-0.471445746,-0.196634852,-0.12361831,-1.234517148,0.602962385,-0.311754401,0.863965675,0.081135329,0.412060138,0.267638407,-0.101100245,-0.176175127,0
0.506596748,0.603680054,0.618393719,0.146461177,0.506596748,-0.312512942,-0.906069332,0.659049643,-0.423092404,0.470677786,0.206621413,0.418708019,-0.382944161,-0.269849346,0.475834303,0.038551229,-0.583705248,0.29232806,-0.983082818,-0.388015933,0.138658403,-0.383027209,0.436245928,-0.436419664,0.129657267,0.192160609,-0.461883518,0.343664702,-0.534991524,0.615720242,0.25859073,-0.895513998,0.639060221,0.540701816,-0.127529256,0.472585045,3.13E-01,-0.044122887,-0.700699868,0.584969041,-0.377863417,0.166022486,0.392331664,-0.114654293,0.605173329,-0.405364298,-0.477860145,-0.094920814,-0.123618312,0.185909137,0.602962385,-0.314711303,0.849779962,0.312114235,0.119316474,0.846772208,0.464741988,-0.175782413,1
0.506596748,-0.47932503,0.085988951,0.146461177,0.506596748,-0.312512942,1.528157844,0.659049643,-0.418485151,0.448932669,0.127072383,0.432803059,-0.373768702,2.75347312,0.444872084,0.147458344,-0.641764926,0.358770543,-1.034322293,-0.387408241,0.174385512,-0.385994404,0.110606362,-0.436419664,0.119359216,0.394076376,-0.462714465,0.341076741,-0.525744032,0.674865919,0.231588543,1.084232301,0.005084898,0.505207225,-0.127644544,0.472595654,3.13E-01,-0.225679954,-0.690835395,-0.739054627,-0.55753519,0.765889295,0.377436373,-0.103760203,0.25653995,-0.408206616,-0.330204473,-0.140748006,-0.12361831,0.46044885,0.602962385,-0.31354973,0.848707164,0.27111586,0.463355713,-3.067906664,0.447050238,-0.175311155,0
